"","468","Mia","Mia24"
"TCPW_HUMAN",3,3.5,0.5
"HS105_HUMAN",129,70,116
"APBP2_HUMAN",1,9,4
"FKB10_HUMAN",46.5,67.5,0
"TTC28_HUMAN",31.5,35.5,0
"PPWD1_HUMAN",1,5,0
"SGTB_HUMAN",1,0.5,0.5
"DNJA3_HUMAN",2,0,0
"TONSL_HUMAN",0,1.5,0
"ERO1A_HUMAN",12,16.5,10.5
"TMX3_HUMAN",3.5,2,0.5
"DNJC1_HUMAN",2,0.5,0
"PFD5_HUMAN",9.5,10.5,10
"DNJC2_HUMAN",30.5,44.5,32
"TTC1_HUMAN",21,20.5,20.5
"DNJC7_HUMAN",65.5,70.5,48
"PHB2_HUMAN",7,8.5,4
"TCPH_HUMAN",171,155.5,132
"BAG1_HUMAN",0,0,1
"ERP44_HUMAN",21.5,27.5,20
"NAA15_HUMAN",32,40.5,36
"NEUL_HUMAN",3.5,4.5,2
"CRNL1_HUMAN",9.5,1.5,0
"EDEM3_HUMAN",2.5,8.5,11
"TANC1_HUMAN",7,20,20
"CLPB_HUMAN",2.5,11,18.5
"KLC2_HUMAN",22.5,35,46.5
"SIL1_HUMAN",6,8,6
"TMX4_HUMAN",0.5,0,0
"PPIL3_HUMAN",1,0.5,0
"TMX1_HUMAN",5,1,0.5
"UN45A_HUMAN",45,54,58.5
"DNJC5_HUMAN",0.5,0,0
"TOR3A_HUMAN",4.5,5,6.5
"RPAP3_HUMAN",23,48.5,45
"TTC12_HUMAN",0.5,2,2.5
"CNO10_HUMAN",11,26.5,23
"GRPE1_HUMAN",2.5,0,0
"SYF1_HUMAN",27.5,14,4.5
"PFD4_HUMAN",3,3,4
"KLC4_HUMAN",8,12,22.5
"PDRG1_HUMAN",3.5,4.5,1.5
"DJC17_HUMAN",0.5,2.5,1.5
"FKB14_HUMAN",0,0,0.5
"TOR4A_HUMAN",0.5,0.5,0
"DJB12_HUMAN",0.5,0,0.5
"SACS_HUMAN",0,25,0
"HPBP1_HUMAN",7.5,8,5
"TXD16_HUMAN",1,3.5,1.5
"UXT_HUMAN",2.5,5.5,4
"DJB11_HUMAN",13.5,16,15
"DNJB4_HUMAN",12,1,1
"SEC63_HUMAN",1.5,2,3
