"","MS.MS.count.Lane1","MS.MS.count.Lane1_rep","MS.MS.count.Lane2","MS.MS.count.Lane2_rep","MS.MS.count.Lane3","MS.MS.count.Lane3_rep"
"TTC33_HUMAN",2,2,1,2,1,1
"TXD11_HUMAN",1,2,1,1,1,1
"CWC27_HUMAN",0,0,4,4,2,1
"QSOX2_HUMAN",0,1,0,1,0,0
"CD37L_HUMAN",3,5,8,9,6,4
"TT21B_HUMAN",0,0,8,8,5,3
"TTC7B_HUMAN",1,0,0,1,0,0
"TRXR3_HUMAN",0,3,4,4,6,2
"TT30A_HUMAN",4,4,7,9,3,6
"GPSM1_HUMAN",4,5,9,11,0,0
"P3H2_HUMAN",9,12,14,14,11,12
"DJC10_HUMAN",10,10,14,13,17,17
"PEX5R_HUMAN",0,0,0,1,0,1
"TTC5_HUMAN",6,7,10,9,14,15
"TT30B_HUMAN",0,0,2,2,0,0
"WDTC1_HUMAN",6,6,9,9,5,10
"TTC9C_HUMAN",7,9,10,8,12,10
"TXND5_HUMAN",36,28,35,29,25,31
"PPIL4_HUMAN",9,12,9,12,6,9
"TPC12_HUMAN",5,2,13,14,8,5
"DNJA4_HUMAN",10,9,3,5,0,1
"DNJC9_HUMAN",3,2,2,4,7,5
"TCPW_HUMAN",2,4,4,3,0,1
"HS105_HUMAN",129,129,68,72,115,117
"APBP2_HUMAN",1,1,8,10,6,2
"FKB10_HUMAN",42,51,72,63,0,0
"TTC28_HUMAN",35,28,35,36,0,0
"PPWD1_HUMAN",0,2,3,7,0,0
"SGTB_HUMAN",1,1,1,0,0,1
"DNJA3_HUMAN",1,3,0,0,0,0
"TONSL_HUMAN",0,0,1,2,0,0
"ERO1A_HUMAN",12,12,17,16,13,8
"TMX3_HUMAN",2,5,2,2,1,0
"DNJC1_HUMAN",2,2,1,0,0,0
"PFD5_HUMAN",11,8,13,8,12,8
"DNJC2_HUMAN",26,35,44,45,27,37
"TTC1_HUMAN",19,23,23,18,23,18
"DNJC7_HUMAN",64,67,69,72,44,52
"PHB2_HUMAN",6,8,9,8,5,3
"TCPH_HUMAN",172,170,159,152,136,128
"BAG1_HUMAN",0,0,0,0,1,1
"ERP44_HUMAN",16,27,27,28,19,21
"NAA15_HUMAN",27,37,38,43,37,35
"NEUL_HUMAN",4,3,5,4,3,1
"CRNL1_HUMAN",9,10,1,2,0,0
"EDEM3_HUMAN",3,2,9,8,11,11
"TANC1_HUMAN",7,7,21,19,18,22
"CLPB_HUMAN",3,2,13,9,17,20
"KLC2_HUMAN",23,22,33,37,50,43
"SIL1_HUMAN",5,7,7,9,8,4
"TMX4_HUMAN",0,1,0,0,0,0
"PPIL3_HUMAN",1,1,1,0,0,0
"TMX1_HUMAN",4,6,1,1,1,0
"UN45A_HUMAN",47,43,53,55,59,58
"DNJC5_HUMAN",1,0,0,0,0,0
"TOR3A_HUMAN",4,5,6,4,9,4
"RPAP3_HUMAN",21,25,52,45,43,47
"TTC12_HUMAN",1,0,2,2,3,2
"CNO10_HUMAN",8,14,24,29,23,23
"GRPE1_HUMAN",2,3,0,0,0,0
"SYF1_HUMAN",23,32,11,17,5,4
"PFD4_HUMAN",4,2,3,3,2,6
"KLC4_HUMAN",7,9,12,12,25,20
"PDRG1_HUMAN",4,3,4,5,1,2
"DJC17_HUMAN",1,0,4,1,1,2
"FKB14_HUMAN",0,0,0,0,1,0
"TOR4A_HUMAN",1,0,1,0,0,0
"DJB12_HUMAN",0,1,0,0,1,0
"SACS_HUMAN",0,0,26,24,0,0
"HPBP1_HUMAN",7,8,8,8,6,4
"TXD16_HUMAN",1,1,3,4,2,1
"UXT_HUMAN",3,2,7,4,4,4
"DJB11_HUMAN",12,15,17,15,16,14
"DNJB4_HUMAN",14,10,1,1,1,1
"SEC63_HUMAN",2,1,2,2,2,4
"Z3H7B_HUMAN",2,4,15,13,13,8
"SRP68_HUMAN",58,49,58,54,38,41
"PFD2_HUMAN",5,9,10,8,11,6
"FKBPL_HUMAN",3,1,1,1,2,4
"CDC23_HUMAN",9,10,21,22,12,20
"APC7_HUMAN",11,9,18,18,10,8
"APC5_HUMAN",5,10,27,27,19,14
"BAG5_HUMAN",13,11,4,6,3,1
"TTC7A_HUMAN",0,0,0,0,0,0
"CHIP_HUMAN",20,19,19,17,26,24
"PPIE_HUMAN",5,5,5,3,8,10
"SGT1_HUMAN",16,22,23,22,28,32
"TMX2_HUMAN",0,0,0,0,1,0
"PPIL1_HUMAN",2,3,5,2,0,0
"HYOU1_HUMAN",39,45,29,31,45,47
"TF3C3_HUMAN",18,22,12,19,7,5
