"","UNIPROTKB","EntrezID","Gene","Level1","Level2","CHAP...CO.CHAP","ATP.dependence..Y.N.","Entry.name"
"321","Q92623",23508,"TTC9","Chaperome","TPR","CO-CHAP","N","TTC9A_HUMAN"
"322","Q8N6N2",148014,"TTC9B","Chaperome","TPR","CO-CHAP","N","TTC9B_HUMAN"
"323","Q8N5M4",283237,"TTC9C","Chaperome","TPR","CO-CHAP","N","TTC9C_HUMAN"
"324","Q9H3U1",55898,"UNC45A","Chaperome","TPR","CO-CHAP","N","UN45A_HUMAN"
"325","Q8IWX7",146862,"UNC45B","Chaperome","TPR","CO-CHAP","N","UN45B_HUMAN"
"326","O15550",7403,"UTX","Chaperome","TPR","CO-CHAP","N","KDM6A_HUMAN"
"327","O14607",7404,"UTY","Chaperome","TPR","CO-CHAP","N","UTY_HUMAN"
"328","Q9HCS7",56949,"XAB2","Chaperome","TPR","CO-CHAP","N","SYF1_HUMAN"
"329","Q9UGR2",23264,"ZC3H7B","Chaperome","TPR","CO-CHAP","N","Z3H7B_HUMAN"
"330","Q9H0C1",84217,"ZMYND12","Chaperome","TPR","CO-CHAP","N","ZMY12_HUMAN"
"331","Q15006",9694,"EMC2","Chaperome","TPR","CO-CHAP","N","EMC2_HUMAN"
"332","Q5VTQ0",158219,"TTC39B","Chaperome","TPR","CO-CHAP","N","TT39B_HUMAN"
"333","O60293",196441,"ZFC3H1","Chaperome","TPR","CO-CHAP","N","ZC3H1_HUMAN"
"334","O95801",7268,"TTC4","Chaperome","TPR","CO-CHAP","N","TTC4_HUMAN"
"335","A6NLP5",143941,"TTC36","Chaperome","TPR","CO-CHAP","N","TTC36_HUMAN"
"336","P50502",6767,"ST13","Chaperome","TPR","CO-CHAP","N","F10A1_HUMAN"
